Time in Milliseconds, Duration from start, Key
1589141155994,148864, 
1589141156186,149056,t
1589141156310,149180,h
1589141156414,149284,e
1589141156513,149383, 
1589141156767,149637,b
1589141156947,149817,o
1589141157115,149985,o
1589141157278,150148,k
1589141157397,150267,s
1589141157466,150336, 
1589141157617,150487,h
1589141157725,150595,a
1589141157769,150639,v
1589141157938,150808,e
1589141158064,150934, 
1589141158173,151043,s
1589141158256,151126,o
1589141158457,151327,l
1589141158602,151472,d
1589141158692,151562, 
1589141158881,151751,m
1589141159041,151911,o
1589141159143,152013,r
1589141159225,152095,e
1589141159297,152167, 
1589141159412,152282,t
1589141159537,152407,h
1589141159672,152542,a
1589141159804,152674,n
1589141159845,152715, 
1589141160085,152955,f
1589141160222,153092,i
1589141160400,153270,v
1589141160570,153440,e
1589141160669,153539, 
1589141160785,153655,h
1589141160935,153805,u
1589141161127,153997,n
1589141161175,154045,d
1589141161321,154191,r
1589141161407,154277,e
1589141161590,154460,d
1589141161657,154527, 
1589141161814,154684,m
1589141161891,154761,i
1589141162006,154876,l
1589141162184,155054,l
1589141162338,155208,i
1589141162444,155314,o
1589141162510,155380,n
1589141162555,155425, 
1589141162699,155569,c
1589141162787,155657,o
1589141162971,155841,p
1589141163080,155950,i
1589141163201,156071,e
1589141163263,156133,s
1589141163349,156219, 
1589141163456,156326,w
1589141163521,156391,o
1589141163992,156862,r
1589141164159,157029,l
1589141164255,157125,d
1589141164394,157264, 
1589141164494,157364,w
1589141164640,157510,i
1589141164693,157563,d
1589141164862,157732,e
1589141165028,157898,comma
1589141165092,157962, 
1589141165310,158180,a
1589141165360,158230,m
1589141165527,158397,k
1589141165658,158528,i
1589141165799,158669,n
1589141165869,158739,g
1589141165968,158838, 
1589141166045,158915,t
1589141166065,158935,h
1589141166222,159092,e
1589141166314,159184,m
1589141166355,159225, 
1589141166426,159296,t
1589141166521,159391,h
1589141166638,159508,e
1589141166677,159547, 
1589141166815,159685,b
1589141166911,159781,e
1589141167047,159917,s
1589141167140,160010,t
1589141167266,160136, 
1589141167434,160304,s
